,Ciudad_Origen,Ciudad_Destino,lat_st,lng_st,lat_end,lng_end,distance_km
0,SAN ANDRES,BOGOTA,12.5847,-81.7006,4.6126,-74.0705,1219.9625022333637
1,SAN ANDRES,CALI,12.5847,-81.7006,3.44,-76.5197,1165.618727909295
2,SAN ANDRES,CARTAGENA,12.5847,-81.7006,10.4236,-75.5253,714.4355231435795
3,ARMENIA,BOGOTA,4.5389,-75.6725,4.6126,-74.0705,177.7554708448754
4,BARRANQUILLA,BOGOTA,10.9639,-74.7964,4.6126,-74.0705,710.7409445215088
5,BARRANQUILLA,CALI,10.9639,-74.7964,3.44,-76.5197,857.9158934752643
6,BUCARAMANGA,BOGOTA,7.1186,-73.1161,4.6126,-74.0705,297.97862371511053
7,BOGOTA,SAN ANDRES,4.6126,-74.0705,12.5847,-81.7006,1219.9625022333637
8,BOGOTA,ARMENIA,4.6126,-74.0705,4.5389,-75.6725,177.7554708448754
9,BOGOTA,BARRANQUILLA,4.6126,-74.0705,10.9639,-74.7964,710.7409445215088
10,BOGOTA,BUCARAMANGA,4.6126,-74.0705,7.1186,-73.1161,297.97862371511053
11,BOGOTA,CALI,4.6126,-74.0705,3.44,-76.5197,301.3317296802188
12,BOGOTA,CARTAGENA,4.6126,-74.0705,10.4236,-75.5253,665.7415317450884
13,BOGOTA,YOPAL,4.6126,-74.0705,5.3306,-72.3906,202.49553244736308
14,BOGOTA,LETICIA,4.6126,-74.0705,-4.215,-69.9411,1083.4775246835516
15,BOGOTA,MONTERIA,4.6126,-74.0705,8.76,-75.8856,502.8343464911983
16,BOGOTA,NEIVA,4.6126,-74.0705,2.9275,-75.2875,230.95750514504783
17,BOGOTA,PEREIRA,4.6126,-74.0705,4.8143,-75.6946,181.37283853918444
18,BOGOTA,PASTO,4.6126,-74.0705,1.21,-77.2747,519.3536331480265
19,BOGOTA,SANTA MARTA,4.6126,-74.0705,11.2361,-74.2017,736.6411587696748
20,BOGOTA,VALLEDUPAR,4.6126,-74.0705,10.4603,-73.2597,656.3429977182722
21,CALI,SAN ANDRES,3.44,-76.5197,12.5847,-81.7006,1165.618727909295
22,CALI,BARRANQUILLA,3.44,-76.5197,10.9639,-74.7964,857.9158934752643
23,CALI,BOGOTA,3.44,-76.5197,4.6126,-74.0705,301.3317296802188
24,CALI,CARTAGENA,3.44,-76.5197,10.4236,-75.5253,784.2501543290593
25,CALI,MONTERIA,3.44,-76.5197,8.76,-75.8856,595.6940332109839
26,CALI,PASTO,3.44,-76.5197,1.21,-77.2747,261.76699661373584
27,CALI,SANTA MARTA,3.44,-76.5197,11.2361,-74.2017,903.7354956554694
28,CARTAGENA,SAN ANDRES,10.4236,-75.5253,12.5847,-81.7006,714.4355231435795
29,CARTAGENA,BOGOTA,10.4236,-75.5253,4.6126,-74.0705,665.7415317450884
30,CARTAGENA,CALI,10.4236,-75.5253,3.44,-76.5197,784.2501543290593
31,CARTAGENA,PEREIRA,10.4236,-75.5253,4.8143,-75.6946,624.0045036334442
32,YOPAL,BOGOTA,5.3306,-72.3906,4.6126,-74.0705,202.49553244736308
33,LETICIA,BOGOTA,-4.215,-69.9411,4.6126,-74.0705,1083.4775246835516
34,MONTERIA,BOGOTA,8.76,-75.8856,4.6126,-74.0705,502.8343464911983
35,MONTERIA,CALI,8.76,-75.8856,3.44,-76.5197,595.6940332109839
36,NEIVA,BOGOTA,2.9275,-75.2875,4.6126,-74.0705,230.95750514504783
37,PEREIRA,BOGOTA,4.8143,-75.6946,4.6126,-74.0705,181.37283853918444
38,PEREIRA,CARTAGENA,4.8143,-75.6946,10.4236,-75.5253,624.0045036334442
39,PASTO,BOGOTA,1.21,-77.2747,4.6126,-74.0705,519.3536331480265
40,PASTO,CALI,1.21,-77.2747,3.44,-76.5197,261.76699661373584
41,SANTA MARTA,BOGOTA,11.2361,-74.2017,4.6126,-74.0705,736.6411587696748
42,SANTA MARTA,CALI,11.2361,-74.2017,3.44,-76.5197,903.7354956554694
43,VALLEDUPAR,BOGOTA,10.4603,-73.2597,4.6126,-74.0705,656.3429977182722
44,BARRANQUILLA,BUCARAMANGA,10.9639,-74.7964,7.1186,-73.1161,465.6784562439109
45,BARRANQUILLA,PEREIRA,10.9639,-74.7964,4.8143,-75.6946,690.9164607558058
46,BUCARAMANGA,BARRANQUILLA,7.1186,-73.1161,10.9639,-74.7964,465.6784562439109
47,BUCARAMANGA,CALI,7.1186,-73.1161,3.44,-76.5197,556.1351836915434
48,BUCARAMANGA,CARTAGENA,7.1186,-73.1161,10.4236,-75.5253,452.9143293573663
49,BUCARAMANGA,PEREIRA,7.1186,-73.1161,4.8143,-75.6946,383.3515973668245
50,BUCARAMANGA,SANTA MARTA,7.1186,-73.1161,11.2361,-74.2017,473.0925468768345
51,BOGOTA,RIOHACHA,4.6126,-74.0705,11.5442,-72.9069,781.3181544531502
52,CALI,BUCARAMANGA,3.44,-76.5197,7.1186,-73.1161,556.1351836915434
53,CALI,RIOHACHA,3.44,-76.5197,11.5442,-72.9069,985.1010111417526
54,CARTAGENA,BUCARAMANGA,10.4236,-75.5253,7.1186,-73.1161,452.9143293573663
55,CARTAGENA,PASTO,10.4236,-75.5253,1.21,-77.2747,1042.5830726071936
56,PEREIRA,BARRANQUILLA,4.8143,-75.6946,10.9639,-74.7964,690.9164607558058
